"Id","Name","Type","MaxForce","MaxStroke","RingRollOffset","RingRollValve","SleeveOffset","RingRollDiameter","RingRollDiameterValve","Valid"
24,"G-10-23 M8/M10 M8 ",1,"1250","500","0","10","0","21.5","21.5",True
10,"GS-8-18 M8 M6Long",1,"750","400","0","8","0","17","17",True
15,"G-8-18 M6 M6",1,"750","500","0","8","0","17","17",True
43,"TS-6-10-18 M5 M5",2,"1250","500","-11.5","0","0","0","0",True
44,"T-6-10-18 M5 M5",2,"1250","500","-11.5","0","0","0","0",True
45,"T-10-16-28 M8 M8",2,"1250","500","-19","0","0","0","0",True
46,"TS-10-16-28 M10 M10",2,"1250","500","-19","0","0","0","0",True
48,"T-10-16-28 M10 M10",2,"1250","500","-19","0","0","0","0",True
49,"T-10-20-38",2,"1250","500","-24.5","0","0","0","0",True
16,"G-8-18 M8 M8",1,"750","500","0","8","0","17","17",True
21,"GS-10-23 M8/M10 M8 Poly",1,"1250","500","0","10","0","21.5","21.5",True
9,"GS-8-18 M6 M6Long",1,"750","400","0","8","0","17","17",True
5,"GS-8-18 M6 M8",1,"750","400","0","8","0","17","17",True
53,"DS-8-23 M8 M8 1.6",3,"750","400","0","10","0","21.5","21.5",True
8,"GS-8-18 M8 M6",1,"750","400","0","8","0","17","17",True
36,"G-14-28 M8/M10 M8",1,"2500","1000","0","12","0","26","26",True
32,"GS-14-28 M10 M10",1,"2500","1000","0","12","0","26","26",True
63,"GCS-10-23 M10/M10 PS",3,"1250","500","0","10","50","21.5","21.5",True
38,"G-14-28 M8/M10 M10 Viton",1,"2500","1000","0","12","0","26","26",True
37,"GS-14-28 M8 M8",1,"2500","1000","0","12","0","26","26",True
65,"G-8-18 M5 M8",1,"750","400","0","8","0","17","17",True
64,"GS-6-12 M5/M5",1,"400","400","0","5.7","0","10.5","10.5",True
13,"G-6-15 M5/M6 M5 - Valve CS - SS outer",1,"400","400","0","6","0","14","14",False
17,"G-8-23 M8 M8",1,"750","500","0","10","0","21.5","21.5",True
58,"GFLS-8-18 M8 M8 NOHCP EXTENDED",1,"750","400","-0.5","8","0","17","17",False
69,"DS-8-18 M8 M8 CR2.4",3,"750","400","0","8","0","17","17",True
56,"GFLS-8-18 M8 M8 NOHCP",1,"750","400","-0.5","8","0","17","17",False
71,"GFLS-8-18 M8 M8 HCP",1,"750","400","-0.5","8","0","17","17",True
20,"GVS-10-23 M8/M10 M8 SV Poly",1,"1250","500","0","8.3","0","21.5","21.5",True
25,"GV-10-23 M8/M10 M8 SV",1,"1250","500","0","8.3","0","21.5","21.5",True
22,"GVS-10-23 M8/M10 M8 SV",1,"1250","500","0","8.3","0","21.5","21.5",True
54,"DS-10-28 M8/M10 M8 1.6",3,"1250","600","0","12","0","26","26",True
74,"DS-10-28 M8/M10 M8 1.6 2WAY",3,"1250","600","0","12","0","26","26",True
75,"GVE-14-28 M8/M10 M10 SV HT Viton",1,"2500","1000","0","13.25","0","26","26",True
18,"GVS-8-18 M8 M8 SV",1,"750","400","0","8","0","17","17",True
51,"TPS-10-24-38 M10 M10 PS",2,"1250","500","-23","0","76","0","0",True
3,"GS-10-23 M10 M10",1,"1250","500","0","10","0","21.5","21.5",True
29,"GPE-14-28 M10 M10 PS",1,"2500","1000","0","12","58","26","26",True
70,"#GCE-10-23 M10/M10 PS 1.6CR (update with all CS then Supersede)",3,"1250","500","0","10","50","21.5","21.5",False
30,"GLOS-14-28 M10 M10 SAFETY",1,"2500","1000","0","12","70","26","26",False
76,"GCE-10-23 M10*15mm/M10 PS 1.6CR ",3,"1250","500","0","10","50","21.5","21.5",True
47,"TS-10-16-28 M8 M8 MB SEAL",2,"1250","500","-19","0","0","0","0",True
